listing_id,zipcode,latitude,longitude,property_type,room_type,bathrooms,bedrooms,beds,minimum_nights,host_listings_count,instant_bookable,cancellation_policy,is_business_travel_ready,price_per_person,host_is_superhost
45431762,,35.454346,-82.50592,Casa particular,Entire home/apt,,1,1,2,2,t,,,24.66666667,t
45433094,,35.62912,-82.57661,Entire rental unit,Entire home/apt,,2,2,2,5,f,,,31,t
45435819,,35.63072,-82.57508,Entire rental unit,Entire home/apt,,2,3,2,5,f,,,26.75,t
45436886,,35.57868,-82.60033,Entire cottage,Entire home/apt,,3,3,30,1,f,,,37.25,f
45436993,,35.62934,-82.57556,Entire rental unit,Entire home/apt,,4,4,2,5,f,,,29.125,t
45438852,,35.58026,-82.59245,Entire guest suite,Entire home/apt,,1,2,1,0,f,,,29.5,t
45454004,,35.56754,-82.5242,Entire guest suite,Entire home/apt,,1,1,1,0,f,,,61,f
45469866,,35.60293,-82.59509,Entire residential home,Entire home/apt,,4,5,3,0,t,,,42.6,t
45480550,,35.55329,-82.65346,Entire house,Entire home/apt,,3,3,2,5,f,,,29.16666667,t
45482353,,35.57533,-82.59505,Entire residential home,Entire home/apt,,1,2,1,0,t,,,30.5,t
45492496,,35.46208,-82.5723,Entire rental unit,Entire home/apt,,3,4,1,0,f,,,19.71428571,t
45514296,,35.56969,-82.63705,Entire residential home,Entire home/apt,,4,4,2,1,t,,,31,t
45531550,,35.49253,-82.50039,Entire cottage,Entire home/apt,,2,2,2,2,t,,,30,t
45532786,,35.61673,-82.59513,Entire residential home,Entire home/apt,,3,3,2,0,f,,,21.83333333,t
45533156,,35.62681,-82.52896,Entire rental unit,Entire home/apt,,1,1,3,1,f,,,160.5,t
45541369,,35.59791,-82.51519,Entire house,Entire home/apt,,4,5,2,0,f,,,18.88888889,f
45549077,,35.59589,-82.55214,Entire condominium,Entire home/apt,,2,3,2,2,f,,,88,f
45549228,,35.47877,-82.51856,Entire house,Entire home/apt,,2,2,2,2,t,,,40,t
45558349,,35.55891,-82.65645,Entire guest suite,Entire home/apt,,1,1,2,0,t,,,38,t
45560850,,35.55041,-82.4629,Entire residential home,Entire home/apt,,3,5,3,708,t,,,25,f
45591120,,35.47187,-82.55812,Private room in residential home,Private room,,1,1,1,1,t,,,35,t
45603008,,35.58186,-82.56123,Entire guest suite,Entire home/apt,,2,2,2,3,f,,,50,t
45604898,,35.519108,-82.613289,Entire residential home,Entire home/apt,,2,2,2,0,f,,,62.5,t
45608234,,35.58672,-82.55381,Entire townhouse,Entire home/apt,,2,3,1,110,t,,,63.5,t
45618352,,35.43049,-82.568,Private room in house,Private room,,1,3,2,0,f,,,18.75,t
45619526,,35.58027,-82.5966,Entire guest suite,Entire home/apt,,1,1,2,0,t,,,61.5,t
45621623,,35.64501,-82.48386,Entire cabin,Entire home/apt,,1,2,3,0,f,,,60,t
45622387,,35.5747,-82.59074,Tiny house,Entire home/apt,,1,2,2,0,t,,,30.75,t
45623198,,35.56667,-82.52646,Entire rental unit,Entire home/apt,,1,1,2,2,t,,,57.5,t
45631218,,35.5075,-82.60297,Entire residential home,Entire home/apt,,3,4,2,4,f,,,31.83333333,t
45634579,,35.59562,-82.50952,Private room in residential home,Private room,,1,5,1,0,t,,,11,t
45640979,,35.56044,-82.66102,Entire residential home,Entire home/apt,,2,2,1,0,t,,,16,t
45652885,,35.55322,-82.51144,Entire cottage,Entire home/apt,,4,6,3,0,t,,,23.8,t
45653583,,35.44858,-82.51295,Entire cottage,Entire home/apt,,1,1,2,708,t,,,48,f
45655928,,35.50792,-82.66341,Tiny house,Entire home/apt,,,1,2,1,f,,,25,f
45657700,,35.61265,-82.52195,Entire cabin,Entire home/apt,,2,3,2,0,f,,,51,t
45659527,,35.58216,-82.59882,Entire rental unit,Entire home/apt,,1,2,1,1,f,,,12,f
45670822,,35.62338,-82.63197,Entire house,Entire home/apt,,1,1,3,1,f,,,42.5,f
45684376,,35.55751,-82.6151,Private room in residential home,Private room,,1,1,1,0,f,,,29.5,f
45687936,,35.57637,-82.58823,Private room in residential home,Private room,,1,1,2,0,f,,,40,t
45712925,,35.63567,-82.51644,Entire residential home,Entire home/apt,,5,6,30,0,t,,,16.5,t
45717828,,35.57658,-82.57238,Entire rental unit,Entire home/apt,,1,1,30,0,f,,,70,f
45718385,,35.45421,-82.49773,Entire residential home,Entire home/apt,,2,3,2,2,t,,,23.16666667,t
45730926,,35.5587,-82.48966,Entire residential home,Entire home/apt,,3,3,2,1,f,,,39.83333333,t
45734694,,35.55366,-82.50699,Entire residential home,Entire home/apt,,4,6,4,0,t,,,43.09090909,t
45735571,,35.61829,-82.64691,Private room in residential home,Private room,,1,1,1,0,t,,,46.66666667,t
